Metric,Year,Count,Mean,Median,Std,Min,Max
% meeting 1,2023,55,92.40492654742253,95.49969725963193,16.67904366928912,-25.635373647801117,104.36410296779725
% meeting 1,2024,55,91.44206499533428,95.39506915974705,18.23291413868733,-34.59489309075845,102.62885993050672
% meeting 3,2023,55,31.631882483584388,28.601744742867854,25.65235597302988,-28.13910729635164,87.29999999996319
% meeting 3,2024,55,35.40469372451392,31.411150694467484,27.819143758833594,-8.300000000020916,100.79999999992638
% meeting 6,2023,55,34.22323654832896,38.58289982836853,32.984447299762174,-53.300000000000594,129.99983193571978
% meeting 6,2024,55,35.51281578116477,41.115195221187875,42.27863175793675,-106.60000000000119,149.9980831238338
