State,Metric,ARIMA_Params,AIC,BIC,LogLikelihood,NumObs,InSample_MAE,InSample_RMSE,InSample_MAPE,Is_Stationary
Pennsylvania,% meeting 1,"(2, 2, 0)",1.8239970952274032,-0.8801660387682677,2.0880014523862984,5,28.830026431265527,47.731105132181405,30.178599799354267,False
Pennsylvania,% meeting 3,"(2, 2, 0)",11.182857629771878,8.478694495776207,-2.5914288148859392,5,21.78199985093847,33.19023989179925,35.892675421551125,False
Pennsylvania,% meeting 6,"(2, 2, 0)",18.521841295351656,15.817678161355987,-6.260920647675829,5,13.687000678676835,19.4666225082251,31.48783092790485,False
Nevada,% meeting 1,"(3, 0, 0)",-3.698706437154005,-5.651516874983503,6.8493532185770025,5,0.2358494331528817,0.402220226481101,0.24690452175292438,False
Nevada,% meeting 3,"(2, 2, 0)",18.93822491904022,16.23406178504455,-6.46911245952011,5,17.871038892144945,21.435414464806584,61.808667662894955,False
Nevada,% meeting 6,"(2, 2, 0)",13.980476720091108,11.276313586095437,-3.9902383600455544,5,23.179270630043952,35.132306173324636,36.91646727881596,False
New Hampshire,% meeting 1,"(2, 2, 0)",16.41822245198683,13.714059317991158,-5.209111225993414,5,31.764232843554332,48.976307927591684,33.13379892672651,False
New Hampshire,% meeting 3,"(2, 2, 0)",20.145884445801663,17.441721311805992,-7.072942222900832,5,26.428769300719914,34.00423931766148,73.06875237330885,False
New Hampshire,% meeting 6,"(2, 2, 0)",22.200802640030545,19.496639506034875,-8.100401320015273,5,23.006411798334263,27.546802383955974,inf,False
New Jersey,% meeting 1,"(3, 0, 0)",0.628369886028965,-1.3244405518005333,4.6858150569855175,5,0.2529109741177308,0.3561122836530866,0.2599303528087432,True
New Jersey,% meeting 3,"(2, 2, 0)",14.406845485820366,11.702682351824695,-4.203422742910183,5,13.419628278650611,18.262130609139113,38.919572612565375,False
New Jersey,% meeting 6,"(2, 2, 0)",16.759389951688632,14.055226817692962,-5.379694975844316,5,12.683735673715072,16.61684361482921,39.257300660992314,False
New Mexico,% meeting 1,"(2, 2, 0)",6.0,3.295836866004329,0.0,5,43.84491556016158,50.99637267825771,46.86598474030939,False
New Mexico,% meeting 3,"(3, 2, 0)",24.425610000469813,20.820059155142253,-8.212805000234907,5,21.191821984679486,25.03607376652794,72.78738338278859,False
New Mexico,% meeting 6,"(3, 0, 1)",12.0,9.656627474604601,0.0,5,11.188143241138878,12.408756322127282,24.10330350003921,False
New York,% meeting 1,"(3, 1, 0)",7.8608301661009685,5.406007610580531,0.06958491694951574,5,19.408488875023576,42.6680465473623,20.348352738627046,False
New York,% meeting 3,"(2, 2, 3)",15.348102390002442,9.9397761220111,-1.674051195001221,5,7.77346364466906,10.904088826432787,39.958776535208216,False
New York,% meeting 6,"(2, 2, 0)",18.12082942892606,15.41666629493039,-6.060414714463031,5,18.72180697833703,24.05578297756737,43.66376319785004,False
North Carolina,% meeting 1,"(3, 0, 3)",-0.8821274879954153,-4.006624188522613,8.441063743997708,5,0.15943094143433142,0.2435351637996468,0.16446197169904006,False
North Carolina,% meeting 3,"(2, 0, 0)",13.632825758268112,12.070577408004514,-2.8164128791340564,5,0.6650182556465551,0.9676264119594418,2.296959575767198,True
North Carolina,% meeting 6,"(3, 1, 0)",9.081223780451815,6.626401224931377,-0.5406118902259074,5,10.804487673532746,21.89849280657952,22.435062030993702,True
North Dakota,% meeting 1,"(3, 0, 3)",-1.4970574478349405,-4.621554148362138,8.74852872391747,5,0.17715022833207,0.27360641247054823,0.18152469850501324,False
North Dakota,% meeting 3,"(0, 2, 0)",12.254686258458001,11.35329854712611,-5.127343129229001,5,3.4100011166500024,5.717211122127619,24.616053855856585,True
North Dakota,% meeting 6,"(2, 2, 0)",20.286357472236872,17.5821943382412,-7.143178736118436,5,30.977894804287143,37.57940542277528,58.161575601910044,False
Northern Marianas,% meeting 1,"(0, 2, 0)",7.3354564719863795,6.4340687606544895,-2.6677282359931898,5,30.160001715981604,49.64288642180668,30.53781516039818,False
Northern Marianas,% meeting 3,"(1, 2, 0)",28.56696186860696,26.764186445943178,-12.28348093430348,5,13.200884249225657,15.232302530464645,54.62278717855092,False
Northern Marianas,% meeting 6,"(2, 2, 0)",20.257164833885284,17.553001699889613,-7.128582416942643,5,18.668926951038408,26.184025814569356,29.097712765368644,False
Ohio,% meeting 1,"(3, 0, 0)",-10.20864277157824,-12.161453209407739,10.10432138578912,5,0.18224247547942696,0.3047084823271578,0.1895540684523388,False
Ohio,% meeting 3,"(3, 0, 3)",15.411551831797539,12.287055131270339,0.29422408410123113,5,1.2277955162087537,1.8733863179150403,2.0327846941415117,False
Ohio,% meeting 6,"(2, 2, 0)",15.310781246731153,12.606618112735482,-4.655390623365577,5,13.021671103100184,17.766425519927505,43.67121971087132,False
Oklahoma,% meeting 1,"(0, 2, 0)",14.736820124766346,13.835432413434456,-6.368410062383173,5,30.510020290187338,49.67470699277105,30.753166016736177,False
Oklahoma,% meeting 3,"(3, 1, 0)",5.619542868232443,3.1647203127120056,1.1902285658837783,5,1.9152417573658247,3.2279327447281214,27.3496470328617,True
Oklahoma,% meeting 6,"(1, 2, 0)",22.71503359647094,20.912258173807157,-9.35751679823547,5,15.169114235792781,20.849914394893744,57.7772984998097,False
Oregon,% meeting 1,"(3, 0, 1)",-15.069002612756837,-17.412375138152235,13.534501306378418,5,0.11513319067756526,0.17652649958814742,0.11947620290134506,False
Oregon,% meeting 3,"(3, 1, 0)",16.18611470809019,13.731292152569754,-4.093057354045095,5,15.882597726271815,32.070712255279915,22.372730240137233,False
Oregon,% meeting 6,"(3, 0, 2)",16.15862847749551,13.424693864534213,-1.0793142387477546,5,2.4336465094527755,3.842889157405419,4.7537539563700495,False
Palau,% meeting 1,"(3, 0, 3)",17.692818827832223,14.568322127305027,-0.846409413916112,5,0.7686408008459893,1.0491736308292563,0.813288385184157,False
Palau,% meeting 3,"(0, 0, 0)",-102.37959180718497,-103.16071598231676,53.18979590359248,5,4.824558165895681e-06,4.824558165895681e-06,inf,True
Palau,% meeting 6,"(0, 0, 0)",-102.37959180718497,-103.16071598231676,53.18979590359248,5,4.824558165895681e-06,4.824558165895681e-06,inf,True
Puerto Rico,% meeting 1,"(0, 2, 0)",34.49089010480194,33.58950239347005,-16.24544505240097,5,38.13958644076952,58.99506469037286,59.051915930899646,True
Puerto Rico,% meeting 3,"(2, 2, 0)",15.612856426603074,12.908693292607403,-4.806428213301537,5,14.680542540238923,19.949648694451966,44.470410166993254,False
Puerto Rico,% meeting 6,"(2, 2, 0)",18.197368223036335,15.493205089040663,-6.098684111518167,5,20.443720690150563,24.782412419517165,98.34279493981283,False
Montana,% meeting 1,"(2, 2, 0)",5.330031794216244,2.625868660220573,0.3349841028918781,5,29.030742025811,47.65500469209194,30.59105322939965,False
Montana,% meeting 3,"(2, 2, 0)",16.15719580155591,13.45303266756024,-5.078597900777956,5,6.937360642149352,8.300471377574501,53.636291162616644,False
Montana,% meeting 6,"(2, 2, 0)",20.82185981279121,18.11769667879554,-7.410929906395605,5,30.76670020777724,36.29579580758863,51.29666301356469,False
Rhode Island,% meeting 1,"(3, 0, 0)",8.505541857349758,6.552731419520259,0.7472290713251213,5,0.6504504537886987,0.8931085786378388,0.6818885606665227,False
Rhode Island,% meeting 3,"(3, 0, 2)",25.73035808079759,22.996423467836294,-5.865179040398795,5,3.8669554091506058,6.085680467831887,9.908199299265641,False
Rhode Island,% meeting 6,"(0, 2, 0)",28.04831967939237,27.146931968060482,-13.024159839696186,5,23.550923956046546,29.52609256205248,81.2677552078996,False
South Carolina,% meeting 1,"(3, 0, 3)",-6.652617443324438,-9.777114143851636,11.326308721662219,5,0.13667710382823656,0.2163186004206871,0.14235613960253876,False
South Carolina,% meeting 3,"(3, 2, 1)",10.0,5.493061443340549,0.0,5,24.199999999999996,24.97470720549092,100.0,False
South Carolina,% meeting 6,"(3, 1, 0)",8.0,5.545177444479562,0.0,5,48.2,48.53279303728562,100.0,False
South Dakota,% meeting 1,"(3, 0, 3)",8.841926790409962,5.717430089882765,3.579036604795019,5,0.6296333917320197,0.8401359012792108,0.6675614373671075,False
South Dakota,% meeting 3,"(2, 2, 0)",14.465197063223322,11.76103392922765,-4.232598531611661,5,7.719737192911896,9.766996473540834,49.35319711240441,False
South Dakota,% meeting 6,"(3, 1, 1)",10.0,6.931471805599453,0.0,5,168.74,372.6788080908277,100.0,False
Tennessee,% meeting 1,"(3, 0, 3)",-8.215813519726687,-11.340310220253885,12.107906759863344,5,0.13482941951103555,0.18445595856016356,0.13875184403509613,False
Tennessee,% meeting 3,"(0, 2, 0)",24.46683304035667,23.56544532902478,-11.233416520178334,5,17.660242883227028,23.33704721163635,41.271943815310266,False
Tennessee,% meeting 6,"(2, 2, 0)",15.875810192678186,13.171647058682515,-4.937905096339093,5,15.833862979069654,22.030684932849034,38.99647689122748,False
Texas,% meeting 1,"(3, 0, 1)",-3.315424798041036,-5.658797323436435,7.657712399020518,5,0.11976679912526436,0.23277148599255465,0.12377102931094923,False
Texas,% meeting 3,"(2, 2, 0)",14.238969617969687,11.534806483974016,-4.1194848089848435,5,11.547141639198404,15.868398647793462,41.557106031729745,False
Texas,% meeting 6,"(0, 2, 0)",22.916569781214058,22.01518206988217,-10.458284890607029,5,18.560113643067137,23.457962412285664,inf,True
Utah,% meeting 1,"(3, 0, 2)",-3.374035812494565,-6.107970425455862,8.687017906247283,5,0.11894538887790418,0.18219290201153843,0.12219566470202534,False
Utah,% meeting 3,"(2, 2, 1)",12.444081765346649,8.838530920019089,-2.2220408826733244,5,21.857372625612488,35.332581581970324,30.023196873277218,False
Utah,% meeting 6,"(3, 0, 2)",25.138061102007807,22.40412648904651,-5.5690305510039035,5,2.4228276450952877,4.282003846908618,4.6512922429249235,False
Vermont,% meeting 1,"(3, 2, 0)",9.351463064021498,5.745912218693937,-0.6757315320107491,5,29.8161051835829,48.24271445827454,30.84033809662815,False
Vermont,% meeting 3,"(3, 0, 2)",14.0,11.266065387038703,0.0,5,10.404890927012918,11.553393289011574,12.796413524308612,False
Vermont,% meeting 6,"(1, 2, 0)",23.892365155733362,22.08958973306958,-9.946182577866681,5,39.19604426175199,55.91027405717853,47.06348951812947,False
Virginia,% meeting 1,"(3, 0, 0)",0.5443854507566783,-1.40842498707282,4.727807274621661,5,0.1490887057138508,0.2331154627183739,0.1562641411515448,False
Virginia,% meeting 3,"(3, 0, 3)",21.945950627086788,18.82145392655959,-2.972975313543394,5,2.8830410355374667,4.50485523038363,5.62917304291632,True
Virginia,% meeting 6,"(0, 2, 0)",31.16861584508558,30.26722813375369,-14.58430792254279,5,22.049360063844116,27.173543477875903,102.44482302135461,False
Washington,% meeting 1,"(1, 2, 0)",10.142421602202445,8.339646179538665,-3.0712108011012225,5,29.300164925867524,48.153637792489015,30.429994764488555,False
Washington,% meeting 3,"(2, 2, 0)",9.455424044389567,6.751260910393896,-1.7277120221947833,5,11.507022495260408,17.266610420303312,35.523212781682545,False
Washington,% meeting 6,"(2, 2, 0)",17.79278057824856,15.08861744425289,-5.89639028912428,5,21.946345511921997,30.347667176522968,40.38610672496804,False
West Virginia,% meeting 1,"(3, 0, 2)",5.827939711308774,3.094005098347477,4.086030144345613,5,0.7217910011492137,1.1396627031386621,0.7806921054411404,False
West Virginia,% meeting 3,"(3, 2, 0)",21.047839150262625,17.44228830493506,-6.523919575131312,5,19.026627369511985,23.77997618566453,42.373100009830864,False
West Virginia,% meeting 6,"(2, 2, 0)",19.783944542039777,17.079781408044106,-6.891972271019888,5,31.567803288971344,38.43298243299605,59.446531356712654,False
Wisconsin,% meeting 1,"(2, 2, 0)",6.897717327085357,4.193554193089686,-0.44885866354267856,5,27.93373364938214,45.47490182111291,30.550440160988924,False
Wisconsin,% meeting 3,"(3, 0, 2)",12.069919951067513,9.335985338106216,0.9650400244662434,5,0.9450180921884354,1.6696951316487687,2.179707003238328,True
Wisconsin,% meeting 6,"(3, 0, 2)",4.35301705038742,1.6190824374261226,4.82349147480629,5,0.8792027183551732,1.8553593770599583,2.403253231852642,False
Nebraska,% meeting 1,"(2, 2, 0)",6.720571865034256,4.016408731038585,-0.36028593251712815,5,29.447059542493474,48.32576895479347,30.50120424913527,False
Nebraska,% meeting 3,"(2, 2, 0)",21.619711896128308,18.915548762132637,-7.809855948064154,5,31.51269581287385,35.56495688500184,67.02837447086992,False
Nebraska,% meeting 6,"(0, 2, 0)",31.069862036939867,30.168474325607978,-14.534931018469933,5,31.482561979274816,36.93044186954472,inf,False
Missouri,% meeting 1,"(1, 2, 0)",0.32146115192765956,-1.4813142707361209,1.8392694240361702,5,28.98220911598562,48.12037114447879,30.13813752889238,False
Missouri,% meeting 3,"(2, 2, 0)",16.831113174191408,14.126950040195736,-5.415556587095703,5,24.309459775008275,34.45450346834566,43.32180033979383,False
Missouri,% meeting 6,"(3, 1, 0)",22.41909520237285,19.964272646852415,-7.209547601186427,5,16.899458776415834,29.515813345574713,28.078809791592086,True
Alaska,% meeting 1,"(2, 2, 0)",9.39446189116773,6.690298757172058,-1.6972309455838643,5,29.91703308259009,48.33232469319222,31.302986661714755,False
Alaska,% meeting 3,"(1, 2, 0)",27.019390436700355,25.216615014036574,-11.509695218350178,5,17.06361883443717,20.805137508743986,55.8064612518669,False
Alaska,% meeting 6,"(0, 2, 0)",25.81188871929929,24.9105010079674,-11.905944359649645,5,13.720240951501484,16.731502647703582,93.30207025994308,False
Idaho,% meeting 1,"(3, 0, 3)",11.796226632960138,8.671729932432939,2.1018866835199312,5,0.7211533523899163,1.1142599554486394,0.7617404126308134,False
Idaho,% meeting 3,"(2, 2, 0)",10.52186798936198,7.8177048553663075,-2.260933994680989,5,22.986056110630624,36.29020848333154,33.738795814577806,True
Idaho,% meeting 6,"(2, 2, 0)",19.355467470723525,16.651304336727854,-6.6777337353617625,5,18.08978175404,22.953620525414664,47.72707806663243,False
American Samoa,% meeting 1,"(0, 2, 0)",15.305456320233239,13.998603500793184,-6.652728160116619,4,39.62527958405259,55.41412537401933,40.57892551007638,False
American Samoa,% meeting 3,"(2, 0, 1)",9.768914492218784,6.700386297818237,0.1155427538906082,4,6.219986911723405,9.445238946719565,inf,False
American Samoa,% meeting 6,"(0, 0, 0)",-81.10367344574789,-82.33108472350811,42.551836722873944,4,4.824558165895691e-06,4.824558165895691e-06,inf,True
Arizona,% meeting 1,"(3, 0, 3)",-1.2701507566678458,-4.394647457195044,8.635075378333923,5,0.24668426744963484,0.34529307679270704,0.255324096803075,False
Arizona,% meeting 3,"(3, 0, 2)",19.773819262089198,17.039884649127902,-2.8869096310445994,5,3.1659513686145324,5.504694430934915,7.807159184296136,False
Arizona,% meeting 6,"(2, 2, 0)",15.000964172217566,12.296801038221895,-4.500482086108783,5,12.787123165540574,18.18046796147586,33.009368238419036,False
Arkansas,% meeting 1,"(3, 0, 2)",-2.258237652216298,-4.9921722651775955,8.129118826108149,5,0.10867783506901958,0.143013196055808,0.11448295091030006,False
Arkansas,% meeting 3,"(2, 2, 0)",13.93283975416701,11.228676620171338,-3.966419877083504,5,5.001784254418524,6.6180559315187795,39.39407571838238,False
Arkansas,% meeting 6,"(3, 1, 2)",12.0,8.317766166719343,0.0,5,35.08,36.62398121449934,100.0,True
California,% meeting 1,"(3, 0, 2)",-11.2274825467011,-13.961417159662398,12.61374127335055,5,0.07611637446112525,0.10134527218011483,0.07792326221053375,False
California,% meeting 3,"(2, 2, 0)",13.130659106751498,10.426495972755827,-3.5653295533757494,5,14.286507460345138,22.216391733807196,32.56425339497612,False
California,% meeting 6,"(2, 2, 0)",14.088441122466312,11.384277988470641,-4.044220561233156,5,24.597765593768667,35.48526783397809,37.68478344600491,True
Colorado,% meeting 1,"(2, 0, 0)",2.821606069600909,-0.7839447757266518,2.5891969651995455,3,0.4341941318627344,0.6314774674495699,0.46306155354275774,True
Colorado,% meeting 3,"(0, 2, 0)",8.318809416193705,6.318809416193705,-3.1594047080968526,3,8.183295158752324,9.198938562637846,45.38394205438478,True
